"Date","Sales Count","Subtotal","Discounts","Total","Cost","Profit","Margin"
"2018-01-03 00:00","31","$3,345.23","$19.00","$3,847.00","$1,629.67","$1,715.56","51.28%"
"2018-01-04 00:00","20","$13,520.60","$0.00","$15,548.19","$5,481.96","$8,038.64","58.51%"
"2018-01-05 00:00","15","$1,502.73","$36.75","$1,728.15","$893.68","$609.05","40.53%"
"2018-01-06 00:00","16","$5,457.22","$18.25","$6,275.75","$3,129.16","$2,328.06","42.66%"
"2018-01-08 00:00","17","$8,360.14","$58.25","$9,614.15","$5,580.69","$2,779.45","33.25%"
"2018-01-09 00:00","17","$1,414.28","$22.00","$1,626.40","$604.85","$809.43","57.23%"
"2018-01-10 00:00","11","$1,074.17","$0.00","$1,235.25","$437.72","$636.45","59.25%"
"2018-01-11 00:00","18","$6,056.84","$0.00","$6,965.38","$4,226.61","$1,830.23","30.22%"
"2018-01-12 00:00","23","$5,093.97","$0.00","$5,858.00","$3,178.55","$1,915.42","37.6%"
"2018-01-13 00:00","14","$1,417.14","$256.30","$1,629.70","$982.03","$435.11","30.7%"
"2018-01-15 00:00","14","$1,579.99","$4.00","$1,817.00","$585.32","$994.67","62.95%"
"2018-01-16 00:00","20","$1,846.60","$71.25","$2,123.55","$741.04","$1,105.56","59.87%"
"2018-01-17 00:00","15","$4,611.73","$29.50","$5,303.50","$3,481.54","$1,130.19","24.51%"
"2018-01-18 00:00","25","$4,743.41","$32.50","$5,454.90","$3,022.69","$1,720.72","36.28%"
"2018-01-19 00:00","19","$7,258.33","$0.00","$8,347.02","$4,151.32","$3,107.01","42.81%"
"2018-01-20 00:00","17","$2,916.26","$16.30","$3,353.70","$1,812.79","$1,103.47","26.98%"
"2018-01-22 00:00","15","$15,063.47","$9.00","$17,323.00","$9,944.67","$5,118.80","33.98%"
"2018-01-23 00:00","20","$2,721.30","$0.00","$3,129.50","$1,528.20","$1,193.10","43.84%"
"2018-01-24 00:00","14","$6,913.04","$108.00","$7,950.00","$748.20","$6,164.84","89.18%"
"2018-01-25 00:00","14","$15,398.76","$0.00","$17,708.50","$9,762.88","$5,635.88","36.6%"
"2018-01-26 00:00","11","$8,913.80","$0.00","$10,250.90","$6,519.90","$2,393.90","26.86%"
"2018-01-27 00:00","12","$11,192.90","$70.40","$12,871.84","$7,518.12","$3,674.78","32.83%"
"2018-01-30 00:00","30","$1,605.99","$30.50","$1,846.91","$801.08","$804.91","38.06%"
"2018-01-31 00:00","21","$929.78","$31.00","$1,069.25","$325.43","$604.35","65%"
"2018-02-01 00:00","19","$8,444.62","$0.00","$9,711.25","$5,937.00","$2,507.62","29.69%"
"2018-02-02 00:00","13","$8,669.73","$1.75","$9,970.15","$6,982.07","$1,687.66","19.47%"
"2018-02-03 00:00","10","$5,944.97","$0.00","$6,836.74","$4,107.38","$1,837.59","30.91%"
"2018-02-05 00:00","31","$2,140.08","$18.90","$2,461.09","$1,180.96","$959.12","42.73%"
"2018-02-07 00:00","12","$2,692.19","$0.00","$3,096.00","$1,681.93","$1,010.26","37.53%"
"2018-02-08 00:00","17","$2,598.89","$0.00","$2,979.00","$1,391.26","$1,207.63","46.47%"
"2018-02-09 00:00","11","$2,679.92","$115.90","$3,089.10","$1,750.64","$929.28","33.43%"
"2018-02-10 00:00","7","$306.95","$15.00","$352.99","$221.80","$85.15","20.7%"
"2018-02-12 00:00","5","$617.17","$0.00","$709.00","$341.85","$275.32","44.61%"
"2018-02-13 00:00","12","$874.06","$68.25","$1,005.15","$446.06","$428.00","48.97%"
"2018-02-14 00:00","8","$1,248.00","$0.00","$1,435.20","$655.42","$592.58","47.48%"
"2018-02-15 00:00","10","$641.32","$0.00","$737.49","$189.58","$451.74","70.44%"
"2018-02-16 00:00","14","$1,246.07","$3.55","$1,432.95","$422.80","$823.27","31.22%"
"2018-02-17 00:00","26","$1,472.17","$132.00","$1,693.00","$832.60","$639.57","32.36%"
"2018-02-19 00:00","25","$11,149.55","$0.00","$12,822.00","$10,685.61","$463.94","4.16%"
"2018-02-20 00:00","12","$2,541.76","$0.00","$2,923.00","$1,513.12","$1,028.64","40.47%"
"2018-02-21 00:00","14","$11,745.23","$60.00","$13,507.00","$8,166.62","$3,578.61","30.16%"
"2018-02-22 00:00","18","$11,646.96","$0.00","$13,394.00","$7,617.64","$4,029.32","34.34%"
